second,Volt1,Volt2
0.0,3.653517585,0.040201005
1.0,3.613316581,0.080402009
2.0,3.69371859,0.080402009
3.0,3.653517585,0.080402009
4.0,3.653517585,0.040201005
5.0,3.653517585,0.080402009
6.0,3.653517585,0.080402009
7.0,3.653517585,0.080402009
8.0,3.69371859,0.080402009
9.0,3.653517585,0.120603014
10.0,3.653517585,0.120603014
11.0,3.733919595,0.080402009
12.0,3.69371859,0.080402009
13.0,3.69371859,0.120603014
14.0,3.653517585,0.160804018
15.0,3.69371859,0.160804018
16.0,3.69371859,0.160804018
17.0,3.733919595,0.160804018
18.0,3.69371859,0.160804018
19.0,3.69371859,0.241206028
20.0,3.69371859,0.281407032
21.0,3.69371859,0.361809042
22.0,3.69371859,0.52261306
23.0,3.69371859,0.603015069
24.0,3.69371859,0.723618083
25.0,3.69371859,0.763819087
26.0,3.69371859,0.884422101
27.0,3.733919595,1.005025115
28.0,3.774120599,1.125628129
29.0,3.69371859,1.165829133
30.0,3.69371859,1.246231143
31.0,3.733919594,1.366834156
32.0,3.69371859,1.407035161
33.0,3.69371859,1.48743717
34.0,3.69371859,1.608040184
35.0,3.733919595,1.648241189
36.0,3.69371859,1.688442193
37.0,3.733919595,1.768844202
38.0,3.69371859,1.809045207
39.0,3.69371859,1.929648221
40.0,3.69371859,1.929648221
41.0,3.733919595,1.969849225
42.0,3.733919595,2.01005023
43.0,3.733919594,2.090452239
44.0,3.733919595,2.090452239
45.0,3.774120599,2.170854248
46.0,3.733919595,2.170854248
47.0,3.69371859,2.251256257
48.0,3.69371859,2.251256257
49.0,3.774120599,2.291457262
50.0,3.774120599,2.371859271
51.0,3.774120599,2.412060276
52.0,3.733919595,2.412060276
53.0,3.774120599,2.412060276
54.0,3.733919595,2.45226128
55.0,3.774120599,2.45226128
56.0,3.733919594,2.492462285
57.0,3.774120599,2.492462285
58.0,3.774120599,2.53266329
59.0,3.733919595,2.572864294
60.0,3.733919594,2.613065298
61.0,3.774120599,2.572864294
62.0,3.733919594,2.653266303
63.0,3.733919595,2.653266303
64.0,3.733919595,2.653266303
65.0,3.774120599,2.653266303
66.0,3.774120599,2.733668312
67.0,3.774120599,2.733668312
68.0,3.774120599,2.733668312
69.0,3.774120599,2.733668312
70.0,3.733919595,2.773869317
71.0,3.774120599,2.773869317
72.0,3.774120599,2.733668312
73.0,3.774120599,2.814070322
74.0,3.774120599,2.773869317
75.0,3.774120599,2.854271326
76.0,3.774120599,2.854271326
77.0,3.774120599,2.854271326
78.0,3.733919595,2.814070322
79.0,3.733919594,2.854271326
80.0,3.774120599,2.854271326
81.0,3.774120599,2.894472331
82.0,3.774120599,2.894472331
83.0,3.774120599,2.894472331
84.0,3.774120599,2.894472331
85.0,3.774120599,2.894472331
86.0,3.774120599,2.934673335
87.0,3.774120599,2.894472331
88.0,3.774120599,2.934673336
89.0,3.774120599,2.934673335
90.0,3.814321604,2.934673336
91.0,3.814321603,2.934673335
92.0,3.774120599,2.934673335
93.0,3.814321603,2.97487434
94.0,3.774120599,2.97487434
95.0,3.774120599,2.97487434
96.0,3.774120599,2.97487434
97.0,3.814321603,2.97487434
98.0,3.814321603,3.015075345
99.0,3.774120599,2.97487434
100.0,3.774120599,3.055276349
101.0,3.774120599,2.97487434
102.0,3.774120599,3.015075344
103.0,3.774120599,3.015075345
104.0,3.774120599,3.015075345
105.0,3.814321603,3.055276349
106.0,3.774120599,3.015075344
107.0,3.814321603,3.055276349
108.0,3.814321603,3.015075344
109.0,3.814321603,3.055276349
110.0,3.814321604,3.055276349
111.0,3.814321603,3.055276349
112.0,3.814321603,3.055276349
113.0,3.814321604,3.055276349
114.0,3.774120599,3.055276349
115.0,3.814321604,3.055276349
116.0,3.774120599,3.055276349
117.0,3.814321603,3.055276349
118.0,3.854522608,3.055276349
119.0,3.814321603,3.055276349
120.0,3.774120599,3.095477354
121.0,3.774120599,3.095477354
122.0,3.814321603,3.095477354
123.0,3.814321604,3.055276349
124.0,3.814321604,3.055276349
125.0,3.774120599,3.095477354
126.0,3.854522608,3.055276349
127.0,3.814321604,3.135678358
128.0,3.854522608,3.135678358
129.0,3.854522608,3.095477354
130.0,3.814321603,3.135678358
131.0,3.814321604,3.05527635
132.0,3.854522608,3.135678358
133.0,3.854522608,3.095477354
134.0,3.814321604,3.135678358
135.0,3.814321604,3.135678358
136.0,3.814321604,3.095477354
137.0,3.854522608,3.135678358
138.0,3.854522608,3.135678358
139.0,3.854522608,3.135678358
140.0,3.854522608,3.135678358
141.0,3.854522608,3.135678358
142.0,3.854522608,3.135678358
143.0,3.854522608,3.135678358
144.0,3.854522608,3.135678358
145.0,3.854522608,3.135678358
146.0,3.854522608,3.135678358
147.0,3.854522608,3.095477354
148.0,3.854522608,3.135678358
149.0,3.854522608,3.135678358
