second,Volt1,Volt2
0.0,3.61331658,0.0804020096666666
1.0,3.61331658,0.0737018423333333
2.0,3.61331658,0.0603015073333333
3.0,3.61331658,0.0804020096666666
4.0,3.53291457,0.0804020096666666
5.0,3.61331658,0.0804020096666666
6.0,3.61331658,0.0804020096666666
7.0,3.61331658,0.0804020096666666
8.0,3.61331658,0.0804020096666666
9.0,3.61331658,0.140703517
10.0,3.61331658,0.1340033496666666
11.0,3.61331658,0.154103852
12.0,3.61331658,0.1876046893333333
13.0,3.61331658,0.1876046896666666
14.0,3.61331658,0.2412060293333333
15.0,3.69371859,0.321608036
16.0,3.61331658,0.402010046
17.0,3.61331658,0.5025125583333333
18.0,3.61331658,0.6164154023333334
19.0,3.61331658,0.7437185846666665
20.0,3.61331658,0.8844221016666666
21.0,3.69371859,0.9849246136666666
22.0,3.61331658,1.1122277956666666
23.0,3.69371859,1.1792294703333333
24.0,3.69371859,1.333333319
25.0,3.69371859,1.4137353286666663
26.0,3.69371859,1.547738675
27.0,3.61331658,1.581239512
28.0,3.69371859,1.6549413543333331
29.0,3.69371859,1.762144034
30.0,3.69371859,1.809045206333333
31.0,3.69371859,1.876046881
32.0,3.69371859,1.9296482206666667
33.0,3.61331658,2.0033500626666663
34.0,3.69371859,2.090452240333333
35.0,3.69371859,2.1373534126666667
36.0,3.61331658,2.14405358
37.0,3.69371859,2.224455589666667
38.0,3.69371859,2.257956427
39.0,3.69371859,2.3048575993333333
40.0,3.69371859,2.3584589356666665
41.0,3.69371859,2.3785594383333333
42.0,3.69371859,2.438860942
43.0,3.69371859,2.4455611096666665
44.0,3.69371859,2.492462282
45.0,3.69371859,2.539363454333333
46.0,3.69371859,2.572864291666667
47.0,3.69371859,2.572864291666667
48.0,3.69371859,2.572864291666667
49.0,3.69371859,2.626465631333333
50.0,3.69371859,2.626465631333333
51.0,3.69371859,2.680066971
52.0,3.69371859,2.706867641
53.0,3.7741206,2.706867641
54.0,3.7741206,2.760468980666667
55.0,3.69371859,2.7805694833333328
56.0,3.69371859,2.760468980666667
57.0,3.69371859,2.787269650666667
58.0,3.7741206,2.814070320666667
59.0,3.69371859,2.820770488333333
60.0,3.61331658,2.840870990666667
61.0,3.69371859,2.814070320666667
62.0,3.69371859,2.8676716606666672
63.0,3.7741206,2.8676716606666672
64.0,3.69371859,2.894472330333334
65.0,3.69371859,2.921273000333333
66.0,3.69371859,2.921273000333333
67.0,3.7741206,2.894472330333334
68.0,3.69371859,2.894472330333334
69.0,3.7741206,2.921273000333333
70.0,3.69371859,2.9279731676666665
71.0,3.7741206,2.948073670333333
72.0,3.69371859,2.948073670333333
73.0,3.69371859,2.9547738376666666
74.0,3.69371859,2.9681741726666666
75.0,3.7741206,3.00167501
76.0,3.69371859,3.00167501
77.0,3.7741206,3.02847568
78.0,3.7741206,2.97487434
79.0,3.69371859,3.02847568
80.0,3.69371859,3.00167501
81.0,3.7741206,3.00167501
82.0,3.7741206,3.02847568
83.0,3.69371859,3.055276349666667
84.0,3.69371859,3.055276349666667
85.0,3.69371859,3.055276349666667
86.0,3.7741206,3.0217755123333334
87.0,3.7741206,3.0820770196666665
88.0,3.7741206,3.055276349666667
89.0,3.69371859,3.055276349666667
90.0,3.69371859,3.055276349666667
91.0,3.69371859,3.0820770196666665
92.0,3.7741206,3.0820770196666665
93.0,3.69371859,3.0820770196666665
94.0,3.7741206,3.055276349666667
95.0,3.7741206,3.0820770196666665
96.0,3.7741206,3.0887771870000003
97.0,3.7741206,3.108877689333333
98.0,3.7741206,3.1356783593333333
99.0,3.7741206,3.128978192
100.0,3.7741206,3.115577857
101.0,3.7741206,3.128978192
102.0,3.7741206,3.1356783593333333
103.0,3.7741206,3.108877689333333
104.0,3.7741206,3.108877689333333
105.0,3.7741206,3.1356783593333333
106.0,3.7741206,3.1356783593333333
107.0,3.7741206,3.1356783593333333
108.0,3.7741206,3.1356783593333333
109.0,3.7741206,3.1356783593333333
110.0,3.7741206,3.115577857
111.0,3.7741206,3.1356783593333333
112.0,3.7741206,3.128978192
113.0,3.7741206,3.142378527
114.0,3.7741206,3.1356783593333333
115.0,3.7741206,3.1356783593333333
116.0,3.85452261,3.1356783593333333
117.0,3.7741206,3.1356783593333333
118.0,3.7741206,3.142378527
119.0,3.7741206,3.1624790293333334
120.0,3.7741206,3.1356783593333333
121.0,3.7741206,3.1356783593333333
122.0,3.7741206,3.1356783593333333
123.0,3.7741206,3.169179197
124.0,3.7741206,3.1356783593333333
125.0,3.85452261,3.1356783593333333
126.0,3.7741206,3.1356783593333333
127.0,3.85452261,3.1356783593333333
128.0,3.7741206,3.169179197
129.0,3.7741206,3.142378527
130.0,3.85452261,3.189279699333333
131.0,3.7741206,3.189279699333333
132.0,3.7741206,3.1557788616666667
133.0,3.7741206,3.1624790293333334
134.0,3.7741206,3.1825795316666667
135.0,3.7741206,3.1356783593333333
136.0,3.7741206,3.1624790293333334
137.0,3.7741206,3.189279699333333
138.0,3.7741206,3.216080369333333
139.0,3.7741206,3.209380201666667
140.0,3.7741206,3.1825795316666667
141.0,3.7741206,3.1825795316666667
142.0,3.7741206,3.1825795316666667
143.0,3.7741206,3.169179197
144.0,3.7741206,3.1624790293333334
145.0,3.85452261,3.195979867
146.0,3.7741206,3.195979867
147.0,3.85452261,3.189279699333333
148.0,3.85452261,3.1624790293333334
149.0,3.85452261,3.189279699333333
