second,Volt1,Volt2
0.0,3.553015074,0.080402009
1.0,3.553015074,0.060301507
2.0,3.613316581,0.020100502
3.0,3.553015074,0.080402009
4.0,3.532914571,0.080402009
5.0,3.553015074,0.080402009
6.0,3.613316581,0.080402009
7.0,3.613316581,0.080402009
8.0,3.613316581,0.080402009
9.0,3.613316581,0.100502511
10.0,3.613316581,0.080402009
11.0,3.613316581,0.140703516
12.0,3.613316581,0.160804018
13.0,3.613316581,0.080402009
14.0,3.613316581,0.160804018
15.0,3.613316581,0.160804018
16.0,3.613316581,0.160804018
17.0,3.673618088,0.221105525
18.0,3.673618088,0.321608037
19.0,3.613316581,0.381909544
20.0,3.673618088,0.482412055
21.0,3.633417083,0.703517581
22.0,3.613316581,0.844221097
23.0,3.673618088,0.884422101
24.0,3.613316581,1.025125617
25.0,3.633417083,1.185929636
26.0,3.633417083,1.266331645
27.0,3.613316581,1.366834156
28.0,3.633417083,1.427135663
29.0,3.613316581,1.587939682
30.0,3.69371859,1.648241189
31.0,3.673618088,1.688442193
32.0,3.673618088,1.768844202
33.0,3.69371859,1.909547718
34.0,3.69371859,1.929648221
35.0,3.69371859,1.989949728
36.0,3.633417083,2.01005023
37.0,3.673618088,2.090452239
38.0,3.69371859,2.110552741
39.0,3.69371859,2.170854248
40.0,3.69371859,2.251256257
41.0,3.69371859,2.231155755
42.0,3.69371859,2.331658266
43.0,3.633417083,2.351758769
44.0,3.69371859,2.412060276
45.0,3.69371859,2.472361783
46.0,3.69371859,2.492462285
47.0,3.69371859,2.492462285
48.0,3.69371859,2.492462285
49.0,3.69371859,2.572864294
50.0,3.69371859,2.572864294
51.0,3.673618088,2.653266303
52.0,3.69371859,2.653266303
53.0,3.754020097,2.653266303
54.0,3.754020097,2.733668312
55.0,3.69371859,2.71356781
56.0,3.754020097,2.733668312
57.0,3.774120599,2.733668312
58.0,3.69371859,2.814070322
59.0,3.69371859,2.753768815
60.0,3.69371859,2.814070322
61.0,3.69371859,2.814070322
62.0,3.69371859,2.814070322
63.0,3.69371859,2.814070322
64.0,3.69371859,2.894472331
65.0,3.713819092,2.894472331
66.0,3.69371859,2.894472331
67.0,3.69371859,2.894472331
68.0,3.69371859,2.894472331
69.0,3.713819092,2.894472331
70.0,3.754020097,2.914572833
71.0,3.754020097,2.894472331
72.0,3.754020097,2.894472331
73.0,3.69371859,2.914572833
74.0,3.774120599,2.954773838
75.0,3.69371859,2.97487434
76.0,3.754020097,2.97487434
77.0,3.774120599,2.97487434
78.0,3.774120599,2.97487434
79.0,3.69371859,2.97487434
80.0,3.774120599,2.97487434
81.0,3.754020097,2.97487434
82.0,3.774120599,2.97487434
83.0,3.713819092,3.055276349
84.0,3.774120599,3.055276349
85.0,3.69371859,3.055276349
86.0,3.774120599,3.035175847
87.0,3.713819092,3.055276349
88.0,3.774120599,3.055276349
89.0,3.774120599,3.055276349
90.0,3.774120599,3.055276349
91.0,3.774120599,3.055276349
92.0,3.774120599,3.055276349
93.0,3.69371859,3.055276349
94.0,3.774120599,3.055276349
95.0,3.69371859,3.055276349
96.0,3.754020097,3.075376851
97.0,3.754020097,3.135678358
98.0,3.774120599,3.135678358
99.0,3.774120599,3.115577856
100.0,3.774120599,3.075376851
101.0,3.774120599,3.115577856
102.0,3.774120599,3.135678358
103.0,3.774120599,3.135678358
104.0,3.774120599,3.135678358
105.0,3.774120599,3.135678358
106.0,3.774120599,3.135678358
107.0,3.774120599,3.135678358
108.0,3.774120599,3.135678358
109.0,3.774120599,3.135678358
110.0,3.774120599,3.075376851
111.0,3.774120599,3.135678358
112.0,3.774120599,3.115577856
113.0,3.774120599,3.155778861
114.0,3.774120599,3.135678358
115.0,3.774120599,3.135678358
116.0,3.774120599,3.135678358
117.0,3.774120599,3.135678358
118.0,3.794221101,3.155778861
119.0,3.834422106,3.135678358
120.0,3.774120599,3.135678358
121.0,3.754020097,3.135678358
122.0,3.834422106,3.135678358
123.0,3.774120599,3.155778861
124.0,3.774120599,3.135678358
125.0,3.774120599,3.135678358
126.0,3.794221101,3.135678358
127.0,3.774120599,3.135678358
128.0,3.774120599,3.155778861
129.0,3.774120599,3.155778861
130.0,3.794221101,3.135678358
131.0,3.834422106,3.216080368
132.0,3.774120599,3.195979865
133.0,3.834422106,3.135678358
134.0,3.794221101,3.195979865
135.0,3.774120599,3.135678358
136.0,3.774120599,3.135678358
137.0,3.794221101,3.135678358
138.0,3.834422106,3.216080368
139.0,3.834422106,3.195979865
140.0,3.774120599,3.195979865
141.0,3.794221101,3.195979865
142.0,3.834422106,3.195979865
143.0,3.854522608,3.155778861
144.0,3.774120599,3.135678358
145.0,3.774120599,3.155778861
146.0,3.774120599,3.155778861
147.0,3.854522608,3.135678358
148.0,3.854522608,3.135678358
149.0,3.794221101,3.216080368
