second,Volt1,Volt2
0.0,3.61331658,0.08040201
1.0,3.61331658,0.08040201
2.0,3.61331658,0.08040201
3.0,3.61331658,0.08040201
4.0,3.53291457,0.08040201
5.0,3.61331658,0.08040201
6.0,3.61331658,0.08040201
7.0,3.61331658,0.08040201
8.0,3.61331658,0.08040201
9.0,3.61331658,0.16080402
10.0,3.61331658,0.16080402
11.0,3.61331658,0.16080402
12.0,3.61331658,0.16080402
13.0,3.61331658,0.24120603
14.0,3.61331658,0.16080402
15.0,3.69371859,0.24120603
16.0,3.61331658,0.32160804
17.0,3.61331658,0.40201005
18.0,3.61331658,0.56281406
19.0,3.61331658,0.80402009
20.0,3.61331658,0.96482411
21.0,3.69371859,0.96482411
22.0,3.61331658,1.12562813
23.0,3.69371859,1.20603014
24.0,3.69371859,1.36683416
25.0,3.69371859,1.44723617
26.0,3.69371859,1.60804018
27.0,3.61331658,1.60804018
28.0,3.69371859,1.68844219
29.0,3.69371859,1.7688442
30.0,3.69371859,1.84924621
31.0,3.69371859,1.92964822
32.0,3.69371859,1.92964822
33.0,3.61331658,2.01005023
34.0,3.69371859,2.09045224
35.0,3.69371859,2.17085425
36.0,3.61331658,2.17085425
37.0,3.69371859,2.25125626
38.0,3.69371859,2.25125626
39.0,3.69371859,2.33165827
40.0,3.69371859,2.33165827
41.0,3.69371859,2.41206028
42.0,3.69371859,2.49246228
43.0,3.69371859,2.49246228
44.0,3.69371859,2.49246228
45.0,3.69371859,2.57286429
46.0,3.69371859,2.57286429
47.0,3.69371859,2.57286429
48.0,3.69371859,2.57286429
49.0,3.69371859,2.6532663
50.0,3.69371859,2.6532663
51.0,3.69371859,2.6532663
52.0,3.69371859,2.73366831
53.0,3.7741206,2.73366831
54.0,3.7741206,2.73366831
55.0,3.69371859,2.81407032
56.0,3.69371859,2.73366831
57.0,3.69371859,2.81407032
58.0,3.7741206,2.81407032
59.0,3.69371859,2.81407032
60.0,3.61331658,2.81407032
61.0,3.69371859,2.81407032
62.0,3.69371859,2.89447233
63.0,3.7741206,2.89447233
64.0,3.69371859,2.89447233
65.0,3.69371859,2.89447233
66.0,3.69371859,2.97487434
67.0,3.7741206,2.89447233
68.0,3.69371859,2.89447233
69.0,3.7741206,2.89447233
70.0,3.69371859,2.89447233
71.0,3.7741206,2.97487434
72.0,3.69371859,2.97487434
73.0,3.69371859,2.97487434
74.0,3.69371859,2.97487434
75.0,3.7741206,2.97487434
76.0,3.69371859,2.97487434
77.0,3.7741206,3.05527635
78.0,3.7741206,2.97487434
79.0,3.69371859,3.05527635
80.0,3.69371859,3.05527635
81.0,3.7741206,2.97487434
82.0,3.7741206,3.05527635
83.0,3.69371859,3.05527635
84.0,3.69371859,3.05527635
85.0,3.69371859,3.05527635
86.0,3.7741206,3.05527635
87.0,3.7741206,3.05527635
88.0,3.7741206,3.05527635
89.0,3.69371859,3.05527635
90.0,3.69371859,3.05527635
91.0,3.69371859,3.13567836
92.0,3.7741206,3.05527635
93.0,3.69371859,3.05527635
94.0,3.7741206,3.05527635
95.0,3.7741206,3.05527635
96.0,3.7741206,3.05527635
97.0,3.7741206,3.13567836
98.0,3.7741206,3.13567836
99.0,3.7741206,3.13567836
100.0,3.7741206,3.13567836
101.0,3.7741206,3.13567836
102.0,3.7741206,3.13567836
103.0,3.7741206,3.13567836
104.0,3.7741206,3.05527635
105.0,3.7741206,3.13567836
106.0,3.7741206,3.13567836
107.0,3.7741206,3.13567836
108.0,3.7741206,3.13567836
109.0,3.7741206,3.13567836
110.0,3.7741206,3.13567836
111.0,3.7741206,3.13567836
112.0,3.7741206,3.13567836
113.0,3.7741206,3.13567836
114.0,3.7741206,3.13567836
115.0,3.7741206,3.13567836
116.0,3.85452261,3.13567836
117.0,3.7741206,3.13567836
118.0,3.7741206,3.13567836
119.0,3.7741206,3.13567836
120.0,3.7741206,3.13567836
121.0,3.7741206,3.13567836
122.0,3.7741206,3.13567836
123.0,3.7741206,3.21608037
124.0,3.7741206,3.13567836
125.0,3.85452261,3.13567836
126.0,3.7741206,3.13567836
127.0,3.85452261,3.13567836
128.0,3.7741206,3.13567836
129.0,3.7741206,3.13567836
130.0,3.85452261,3.21608037
131.0,3.7741206,3.13567836
132.0,3.7741206,3.13567836
133.0,3.7741206,3.13567836
134.0,3.7741206,3.13567836
135.0,3.7741206,3.13567836
136.0,3.7741206,3.21608037
137.0,3.7741206,3.21608037
138.0,3.7741206,3.21608037
139.0,3.7741206,3.21608037
140.0,3.7741206,3.13567836
141.0,3.7741206,3.21608037
142.0,3.7741206,3.21608037
143.0,3.7741206,3.21608037
144.0,3.7741206,3.13567836
145.0,3.85452261,3.21608037
146.0,3.7741206,3.21608037
147.0,3.85452261,3.21608037
148.0,3.85452261,3.13567836
149.0,3.85452261,3.13567836
